#,Date-Time (EDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,06/30/2026 14:14:42,25.39,Logged,,,,
2,06/30/2026 14:15:12,25.99,,,,,
3,06/30/2026 14:15:42,26.38,,,,,
4,06/30/2026 14:16:12,26.85,,,,,
5,06/30/2026 14:16:42,27.15,,,,,
6,06/30/2026 14:17:12,27.45,,,,,
7,06/30/2026 14:17:42,27.80,,,,,
8,06/30/2026 14:18:12,28.01,,,,,
9,06/30/2026 14:18:42,28.27,,,,,
10,06/30/2026 14:19:12,28.40,,,,,
11,06/30/2026 14:19:42,28.61,,,,,
12,06/30/2026 14:20:12,28.78,,,,,
13,06/30/2026 14:20:42,28.95,,,,,
14,06/30/2026 14:21:12,29.13,,,,,
15,06/30/2026 14:21:42,29.30,,,,,
16,06/30/2026 14:22:12,29.43,,,,,
17,06/30/2026 14:22:42,29.56,,,,,
18,06/30/2026 14:23:12,29.68,,,,,
19,06/30/2026 14:23:42,29.86,,,,,
20,06/30/2026 14:24:12,29.94,,,,,
21,06/30/2026 14:24:42,30.07,,,,,
22,06/30/2026 14:25:12,30.20,,,,,
23,06/30/2026 14:25:42,30.33,,,,,
24,06/30/2026 14:26:12,30.46,,,,,
25,06/30/2026 14:26:42,30.54,,,,,
26,06/30/2026 14:27:12,30.63,,,,,
27,06/30/2026 14:27:42,30.76,,,,,
28,06/30/2026 14:28:12,30.84,,,,,
29,06/30/2026 14:28:42,30.97,,,,,
30,06/30/2026 14:29:12,31.10,,,,,
31,06/30/2026 14:29:42,31.14,,,,,
32,06/30/2026 14:30:12,31.23,,,,,
33,06/30/2026 14:30:42,31.40,,,,,
34,06/30/2026 14:31:12,31.49,,,,,
35,06/30/2026 14:31:42,31.53,,,,,
36,06/30/2026 14:32:12,31.70,,,,,
37,06/30/2026 14:32:42,31.83,,,,,
38,06/30/2026 14:33:12,31.92,,,,,
39,06/30/2026 14:33:42,31.96,,,,,
40,06/30/2026 14:33:59,,,Logged,Logged,,
41,06/30/2026 14:34:12,32.09,,,,,
42,06/30/2026 14:34:42,32.17,,,,,
43,06/30/2026 14:35:12,32.26,,,,,
44,06/30/2026 14:35:42,32.34,,,,,
45,06/30/2026 14:36:12,32.43,,,,,
46,06/30/2026 14:36:42,32.52,,,,,
47,06/30/2026 14:37:12,32.60,,,,,
48,06/30/2026 14:37:42,32.73,,,,,
49,06/30/2026 14:38:12,32.82,,,,,
50,06/30/2026 14:38:42,32.86,,,,,
51,06/30/2026 14:39:12,32.94,,,,,
52,06/30/2026 14:39:42,33.07,,,,,
53,06/30/2026 14:40:12,33.16,,,,,
54,06/30/2026 14:40:42,33.20,,,,,
55,06/30/2026 14:41:12,33.29,,,,,
56,06/30/2026 14:41:42,33.42,,,,,
